id,name,url,institution
849,史記 (Shi Ji),https://www.classcentral.com/course/shiji-1652,National Taiwan University
850,Étudier en France: French Intermediate course B1-B2,https://www.classcentral.com/course/etudier-en-france-7629,École Polytechnique
851,Classics of Chinese Humanities: Guided Readings,https://www.classcentral.com/course/classics-chinese-humanities-653,The Chinese University of Hong Kong
852,"The Mediterranean, a Space of Exchange (from the Renaissance to Enlightenment)",https://www.classcentral.com/course/mediterraneanhistory-5041,University of Barcelona
853,A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 – 1650) ,https://www.classcentral.com/course/western-christianity-200-1650-8106,Yale University
854,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,https://www.classcentral.com/course/philosophy-cognitive-sciences-7055,University of Edinburgh
855,The Talmud: A Methodological Introduction,https://www.classcentral.com/course/the-talmud-5915,Northwestern University
856,America Through Foreign Eyes,https://www.classcentral.com/course/foreigneyes-3705,Rice University
857,中國古代歷史與人物：秦始皇（Qin Shi Huang),https://www.classcentral.com/course/qin-shi-huang-702,National Taiwan University
858,Roman Art and Archaeology,https://www.classcentral.com/course/roman-art-archaeology-5796,University of Arizona
859,Pluralidades em Português Brasileiro,https://www.classcentral.com/course/portestrangeiros-3693,Universidade Estadual de Campinas
860,Arch of Titus: Rome and the Menorah,https://www.classcentral.com/course/archoftitus-5077,Yeshiva University
861,Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,https://www.classcentral.com/course/911-attack-1011,Duke University
862,Know Thyself – The Value and Limits of Self-Knowledge: The Unconscious,https://www.classcentral.com/course/know-thyself-the-unconscious-12835,University of Edinburgh
863,Sports Marketing,https://www.classcentral.com/course/sports-marketing-12178,Northwestern University
864,Chinese for HSK 5,https://www.classcentral.com/course/chinese-for-hsk5-12224,Peking University
865,Chinese for HSK 4,https://www.classcentral.com/course/hsk-4-10480,Peking University
866,"Understanding China, 1700-2000: A Data Analytic Approach, Part 2",https://www.classcentral.com/course/newchinahistory2-3792,The Hong Kong University of Science and Technology
